estrategia,accuracy,precision,recall,f1,roc_auc
baseline,0.8032059528034067,0.655575411159775,0.5430216054250119,0.5929689243341432,0.8433055423507403
threshold_0.30,0.7584817972127234,0.5322244581076845,0.7458086622414014,0.6205079434139685,0.8433055423507403
threshold_0.35,0.7770808802180785,0.5651488530829865,0.6976487792289716,0.6234642102435279,0.8433055423507403
threshold_0.40,0.7881550825859732,0.5920148593906663,0.6511046436610228,0.6192654870235103,0.8433055423507403
threshold_0.45,0.7996560261952383,0.6276001693347081,0.6024100012903041,0.6136219374661646,0.8433055423507403
undersampling,0.7535089965481643,0.5247480924549315,0.7758053647976373,0.6258351987241866,0.8416318316314128
oversampling,0.7388872870830376,0.5061546460837665,0.7683015297271725,0.6098658682160402,0.8379142164992528
smote,0.7452770138396027,0.513034834682235,0.7907857951857321,0.6221590878329766,0.8422085493087181
